Doc_ID,DSI_Title,Text
0,BJL_Doc3_Having-received-a.txt,"Having received a mysterious signal emanating from his father’s arcade, Sam sets off to investigate, and following a few brief key presses on an old computer terminal, he too finds himself locked inside the Grid.

Almost like an atonement for the lengthy scene-setting that forms Legacy’s opening, Kosinski has Sam kinkily stripped out of his civilian wear, zipped into a skin-tight costume made of rubber and glowsticks, and throws him into a series of Tron-referencing gladiatorial games, beginning with a high-velocity tournament with deadly discs, and then a dizzying Light Cycle chicken run, before he’s whisked away by slinky heroine Quorra.

Quorra, played with feline innocence by Olivia Wilde, is a warrior program who, like Sam, is dangerously multi-talented, and as at home talking about 20th century literature as she is driving an off-road vehicle or smashing opponents into cubes with fists and feet. Whisking Sam off the Grid, Quorra ushers Sam to a refuge in the world’s digital wilderness, where his father Kevin sits in a zen-like trance.

It’s here we learn a little more of Kevin’s backstory – his most advanced program, Clu, has gone rogue, turning the Grid into a fascist state, subjugating its populace and trapping Kevin inside the world’s neon confines. 

It also feels, at the same time, that Kosinski is a little impatient with some of the trappings he’s inherited – the disc battles and Light Cycle duels are dispensed with early on and never revisited, which is a pity because, as muddled and synapse-frying as these sequences are, they’re never topped elsewhere.

There’s an aerial dogfight that attempts to dazzle with sheer light and noise, but is too obviously reminiscent of its analogues in the Star Wars movies to really satisfy, and gives way to a denouement that could be seen as muted,

we haven’t yet reached the point where we can create an entirely convincing human head out of pixels.

It’s this aspect that will be looked upon least fondly in another 28 years, I fear. But at the same time, there’s an awful lot in Kosinski’s take on Tron that is enormously enjoyable.

Clu may have all the presence of a Texas Instruments calculator, but the real Jeff Bridges is an absolute delight as Kevin Flynn. Playing up to his Baby Boomer equivalent of Obi Wan Kenobi, his every utterance of “far out” and “I’m gonna go and touch the sky” are perfectly delivered – they’re lines that could only work coming from his mouth, and had he wandered around the Grid with a carton of milk in his hand, this could just as easily have been Tron: Lebowski.

Garett Hedlund is merely okay in his everyman hero role, but Olivia Wilde is great as Quorra, and the film could have benefited from more of her.

As a big-screen experience, and as pure eye-candy, Tron: Legacy is a riot of colour and esoteric design, and visually, Legacy is a confident debut from Kosinski.

It’s in storytelling terms that Legacy seems unusually timid. "
1,BJL_Doc2_An-exploration-of.txt,"TL;DR – An exploration of a film that effortless blends music, visuals, story, and passion into something that is greater in almost every way.
There are some movies that just touch you in your heart, you can’t really explain why? They just fill you with joy and no matter how many times you have watched it, you are always ready to crack open that DVD/BluRay/digital copy/whatever and give it another watch. For me, one such film is Tron: Legacy, it is the hill I am ready to die on and I love it with all my heart. 
The first area that the film excels in is the music and when you have Daft Punk working on your musical score then you know something special is about to happen. There is the electronic pulsing of The Game Has Changed, the lively strings of Outlands, and the warmth of the Finale. Where we really see this glory come to the foreground is towards the end of the second act when Sam makes his way through the city to the End of Line club where we get the apt title End of Line and also a cameo for the music makers themselves. To begin with we have a relatively mellow club track with a pulsating rhythm and drums underneath as Sam has entered a place of safety. Fun fact that there are a lot of samples of old video games including Commander Keen dropped throughout the song. Of course, no good deed goes unpunished and Zuse (Michael Sheen) turns on Sam bringing the more up-tempo Derezzed into play. The electronics rise and fall in quick succession, the drums are louder, the perfect music for a kick-ass action sequence. Then the moment Flynn arrives, the mood changes again and Fall starts as Zuse states ‘the aura was palpable’ and he’s not wrong. It is an amazing couple of minutes of cinema.               
While the music is a centrepiece of the film, another key factor is just how beautiful the visuals are. From a visual effects perspective, the film was revolutionary with its de-ageing technic to bring CLU (Jeff Bridges/John Reardon) to life. Yes, we have gotten much better at it over the last ten years, and yes it does not always work, they probably should not have shown his face in close up at the start of the film in the real world. But nevertheless, it is still a marvel of the time and you still get sucked in thanks to Bridges performance. As well as the de-aging, the film is filled with visual effects of such high quality that they still hold up today. The world of the Grid is filled with a blending of physical and digital sets that combine flawlessly to create a fantastic world. Where we see that come to fruition is in the games, first the disk wars and then the light cycle battle.
"
2,BJL_Doc6_TRON-Legacy-is.txt,"‘TRON: Legacy’ is the sequel to the 1982 film ‘TRON’ and stars Jeff Bridges, Garrett Hedlund and Olivia Wilde. Hedlund plays Sam Flynn, son of Kevin Flynn, the original creator of the TRON game. After his father disappears, Sam finds himself thrust into the digital world that Kevin had created, now being ruled by C.L.U, a corrupted digital avatar of his father.

At the time of its release, I loved the film despite it getting mixed reviews. However, I hadn’t seen it since then. So, when I saw that ‘TRON: Legacy’ was on Disney+, I decided to give the film another watch and see whether it was a bad film disguised by the amazing 3D, the awesome soundtrack and the incredible visuals, or whether it is actually a good film. 

And now that I’ve watched it 10 years after its initial release, I still really enjoy ‘TRON: Legacy’. However, I also accept that, while the story is interesting, it’s more the experience that the focus should be on. Garrett Hedlund and Jeff Bridge work well together and their father/son relationship is believable. Even Jeff Bridges is menacing as C.L.U, who is constantly thriving for his own image of perfection. 

C.L.U was one of the earliest examples of Disney experimenting with de-aging technology, something that is now used in films such as ‘Star Wars: Rouge One’, ‘Captain Marvel’ and ‘Avengers: Endgame’. And, while it looks a little dated now, it’s not jarring to look at. This was a sign that Disney knew how to handle the technology. 

The plot is a basic A-to-B type story; get Sam and Kevin Flynn out of the digital world that they’re trapped in before the portal they need to use to travel back closes. However, the journey is incredible to look at. The visuals still hold up today and make the digital world look sleek and stylish. Vehicles from the source material have been given a modern makeover and, while they look a lot more updated and colourful, they’re still recognizable. The visuals are a character here, and it’s obvious why it was an aspect of the film that was talked about the most.

Another aspect of the film that was highlighted was the score. Created by Daft Punk, it was a perfect companion to this gorgeous piece of work; it was nominated for 12 awards, including a Grammy Award for Best Score and it’s clear why. A soundtrack should either accompany the visuals or elevate it, and this soundtrack did both effortlessly.

The decision to have Daft Punk create it made sense; they were partly influenced by the original, so fit in perfectly. Even today, I still listen to the soundtrack.

Overall, ‘TRON: Legacy’ is not only a film, but an experience. It was the perfect film to watch in IMAX to really showcase what the technology could do. While the plot is something that’s been repeated countless times, it’s the visuals and the soundtrack that should be focused on here."
3,BJL_Doc1_So-when-I.txt,"So when I say that Tron: Legacy had me on the edge of my seat and impressed as all hell with its special effects and action know that it really means a lot. This, simply put, is one badass movie and while it has it’s flaws they’re easily overlooked because it just looks so damn good and has action that your probably not going to see anywhere else. In short, it’s almost exactly like the original Tron, and I think that’s a great thing.

If you’re hoping for some big, meaningful plot out of Tron because in the past 25 years you concocted something really meaningful out of the first film then you’re going to be pretty disappointed in Tron: Legacy. Years after the original ended Kevin Flynn (Jeff Bridges) has had a child and his technology company, Encom, is making millions and billions of dollars. Then he simply disappears. Jump forward even more years and his son, Sam (Garrett Hedlund), has rejected his responsibility to run his father’s company despite being the majority stockholder. Suddenly a page comes from his father and he discovers, after all these years, his father’s lab at Flynn’s Arcade. A few keystrokes later and Sam is sucked into the computer world of the original film where he finds his father in a battle with Clu (a digitally younger Jeff Bridges) for control over the mainframe.

There’s also some stuff about creating life and saving the world, but trust me it all takes a back seat to the absolutely stunning special effects and action sequences. Once Sam enters the computer (in a Wizard of Oz-inspired twist the 3D for the film doesn’t kick in until then) there’s a solid 30-minute span crammed with disc battles, bike races, and fistfights that simply blow you away with both how good it looks and how well it’s put together. Even more impressive is the use of 3D, especially during the bike scene, which uses 3D to great effect because of a multi-leveled arena where the bikes are racing around above and below each other. 

It should also be noted that Daft Punk’s soundtrack is phenomenal. Ear splittingly good, the duo, who do make a cameo, doesn’t simply create some catchy songs to play over the film but has actually made an impressive soundtrack that fits perfectly with the world of Tron. It’s hard to imagine the move being anywhere near as good without the digital soundtrack that they’ve laid down, and it should be getting an Oscar nod if for no other reason than it is one of the most original scores of the year.

If you were expecting Shakespeare from Tron: Legacy then you’ve put the original on a pedestal and I’m afraid your hopes are going to be crushed. However, if you were simply looking forward to action-packed, special effect bonanza than there is no way you’re going to be let down. "
4,BJL_Doc5_The_addition_of.txt,"The addition of that stately ""legacy"" to the title strains to confer a retrospective classic status on Disney's virtual reality sci-fi thriller from 1982, about people trapped in a computer game and forced to engage in gladiatorial combat. It might have come as a surprise to some that Tron had much of a legacy; the film was overshadowed by Spielberg's ET in that year, and in the UK suffered the mortification of being upstaged by Peter Greenaway's The Draughtsman's Contract. Yet a generation grew up prizing Tron for being audacious, ahead of its time, a futurist trailblazer about games culture and the digital world. Its most famous legatee is Christopher Nolan, creator of Inception, and maybe that's the movie that original Tron fans would still prefer to watch.

This hog-whimperingly expensive and worryingly dull reboot stars Jeff Bridges as entrepreneur and genius Kevin Flynn. Twenty years ago, Kevin created a brilliant new digital system. (This happened in 1989, not 1982, incidentally, in order to make his infant son young enough to be a twentysomething hunk in the present day.) At the height of his sensational celebrity, Flynn vanished, and now in 2010 his boy Sam (Garrett Hedlund) tumbles into the virtual domain that his dad created, and where he is now in exile: this hidden universe is dominated by an unimaginably colossal gaming arena and is ruled by Kevin's evil alter ego Clu, his own digitally created younger self from 1989. Where once Kevin had hoped to draw upon the positive energies of this secret world – creating ""bio-digital jazz"" – the sinister Clu wants only to rule over a digital police state and preside over the cruel neo-imperial spectacle of games.

There's interesting stuff in this new Tron, particularly some subversive jabs at the regressive solipsism of computer games. But there's plenty that's very dull and laborious, too. The digital technology used to create the ""young"" Jeff Bridges is weird and not in a good way: this waxy, unlined figure resembles one of the Westworld robots, but looks less real. In the original 1982 Tron, the superimposition of glowing real human faces on computer-graphic figures might have seemed odd, yet it now arguably looks interestingly Soviet-heroic, or like something by Fritz Lang.

Obviously, this has all gone. There is now no question of seeing the join. The digital effects are the finest money can buy. And yet the effect is strangely   retro – the black-and-chrome stylings look like something from the late 1970s or early 80s. Nightclubs of the era looked a lot like this. And the sudden appearance of vivid-white boudoir spaces is taken straight from 2001: very Sanderson, very Stanley Kubrick. Successful or not, Tron was pushing the envelope, trying for something new, Tron: Legacy is paralysed by its reverence for the old."
5,BJL_Doc4_The-good-news.txt,"The good news for that cult is that Tron: Legacy serves up similarly astonishing sights. Everyone else may continue scratching their heads, for the story here is just as spotty as in the film's predecessor.

The filmmakers offer a brief prologue to refresh the memory after the three-decade break. In 1989, original Tron hero Kevin Flynn (Jeff Bridges, digitally altered to appear closer to 40 than 60) tells his young son Sam a bedtime story about how he managed to digitize himself and enter the world within the computer -- and how, through his ongoing entrances into that digital realm, he's on the verge of revolutionizing artificial intelligences as we know them. 

Jump to the present day, and Sam (Garrett Hedlund) is a headstrong computer genius without much use for authority, just like Dad. His strongest qualities seem to be rebellion, riding motorcycles at high speed and staring sullenly over the water from the industrial garage he's converted into a home. But a mysterious message leads him to his father's old arcade, where he winds up falling into the same digital world that swallowed his father.

For those viewing the film in 3-D, this is where the screen gets some depth; Kosinski steals a page from The Wizard of Oz, using three dimensions only once we arrive in Sam's equivalent of the colorized Oz. Once there, the director uses the medium elegantly and without cheap 3-D gimmickry.

Jeff Bridges plays Kevin Flynn, who has been trapped for two decades by the artificial intelligence he created. What Sam finds is a fascist world ruled by Clu, the artificially intelligent program his father created to run the place, with his father trapped in exile ""off the grid."" Bridges plays both roles, though his Clu is digitally altered to remain young. (The character represents an impressive advancement in rendering humans digitally, but it's still lacking enough to be vaguely creepy.)

The most problematic part of both Trons is the uneasy juxtaposition of two genres, with conventions as distinct as the two worlds of the movie. On the one hand, this new outing wants to be dark, moody science fiction full of Big Ideas. But it's also ostensibly a kids' movie, by a kids' studio, so it's obligated to stage the races and battles that audience demands. The result is an experience akin to trying to meditate on a roller coaster -- which may explain why Flynn, while trapped inside, seems to have become a kind of digital surfer bodhisattva, appending the word ""man"" to his sentences and doling out Zen proclamations like, ""I'm gonna go knock on the sky and listen to the sound."" (Even in Tronworld, it seems, the Dude abides.)

If that sounds a little ridiculous, well, it is. Tron: Legacy revels in its over-the-top nature: the sharp contrast of inky blacks against vibrant neons, the bombastic clash of orchestral and synthetic elements in the soundtrack (by French electronic musicians Daft Punk), the trippy, sometimes incoherent ideas it presents. "
6,BJL_Doc7_Both-Blade-Runner.txt,"Both Blade Runner and Tron are unlikely cult hits. Both are considered state-of-the-art examples of science fiction cinema. 

The Blade Runner movies are much darker than the Tron films.  But Blade Runner 2049 and Tron: Legacy have similar themes of obsession over family legacies. 2049 focuses on K (Ryan Gosling), an LAPD android-hunter who’s tasked with investigating the story of a female replicant who gave birth to a child. As K’s investigation proceeds, he sees evidence that suggests he might be the mystery child, and that his parents are none other than Blade Runner’s Rick Deckard (Harrison Ford) and Rachael (Sean Young).

This hunt to track down a missing parent is mirrored in the setup to Tron: Legacy. In the 2010 sequel, Garrett Hedlund plays Sam Flynn, son of the missing-in-action Kevin Flynn (Jeff Bridges), one of the heroes of the 1982 original. Sam  is encouraged by Kevin’s old friend Alan (Bruce Boxleitner) to investigate the origin of a message emanating from the arcade where the two older men once worked. There, Sam is inexplicably transported into the virtual-reality world known as The Grid. Inside the Grid, the digital inhabitants quickly identify Sam as a human, and bring him to their leader, Clu, who looks exactly like Kevin did as a young man. Eventually, Sam learns that his actual father is also inside the Grid, hiding from its dangerous ruler.

So much of the 2010 movie relies on believing that Sam and his father are facing off against a virtual-reality creation that looks like a young Jeff Bridges, which means that much of the film relies on that virtual Bridges looking real. A large amount of Tron: Legacy’s budget was dedicated to the crucial FX surrounding Clu. Clu feels less like an authentically young Jeff Bridges, and more like an offshoot of the motion-capture horror-show of films of the uncanny-valley effect.

While the rest of Tron: Legacy’s visual palette and its pulsating Daft Punk soundtrack are striking, the story, characters, and dialogue fall flat. To see Jeff Bridges in Big Lebowski mode as the elder Flynn, no one can sell an unironic line of dialogue like “It’s biodigital jazz, man!” The film’s clunkiest line, meant to describe the technological power of the Grid, but representative of its largely uninspired screenplay. 

Like Tron: Legacy, Blade Runner 2049 has a booming soundtrack, remarkable visuals, and a sense of portent permeating the story. It boasts multi-dimensional, complex performances from its two above-the-line leads. The film’s biggest selling point is Roger Deakins’ jaw-dropping cinematography — audiences really need to see this on the biggest screen possible, if only for the imagery — but Ryan Gosling’s performance is among his very best. K is an internal, subtly emotional character with a full, satisfactory arc, and Gosling brings an appropriate, welcome sense of complexity to the role. The script is perhaps overly solemn, and leaves some plot strands untied, but 2049 still has a sense of completeness and intelligence that’s unfortunately absent from Legacy.
"
7,GS_DOC2_Wonder_Woman1984_Review.docx,"For nearly two hours of its 151-minute runtime, “Wonder Woman 1984” accomplishes what we look to Hollywood tentpoles to do: It whisks us away from our worries, erasing them with pure escapism. For those old enough to remember the ’80s, it’s like going home for Christmas and discovering a box full of childhood toys in your parents’ attic. This is what it felt like to watch Richard Donner’s “Superman” for the first time, or to marvel at the strong female role models of such vintage TV shows as “Wonder Woman” and “The Bionic Woman.” Even if the ’80s seem as distant to you as the World War I setting of Patty Jenkins’ history-making “Wonder Woman” feature three years ago, the sequel offers an amusing tour through that tackiest of decades, when shoulder pads and permed hair were all the rage.



In Jenkins’ 2017 origin story, Gal Gadot plays the fish out of water, as Amazon princess/goddess Diana Prince finds herself thrust into war-torn Europe — in 1918, a good 10 years before the invention of sliced bread — doing her best to adapt to the conventions of a less enlightened patriarchy, with the help of stud pilot Steve Trevor (Chris Pine). This time, it’s Steve’s turn to feel out of sync with society, as Diana makes a wish that resurrects her lost love, bringing him back to the year the Apple Macintosh was unveiled. In between, Zack Snyder made a noisy, present-day “Justice League” movie (due for a director’s cut next year), but Jenkins has a much better handle on what audiences want from the divine Miss Diana, and “Wonder Woman 1984” delivers, for a time.



Embracing both her iconic Washington, D.C., setting and the slightly corny comic book style of the period, Jenkins serves up scenes in which Wonder Woman intervenes in everyday crises, saving a Walkman-wearing jogger from being run down by a Pontiac Firebird or rescuing two girls endangered during a shopping-mall jewelry heist. That robbery results in the recovery of the Dreamstone, an ancient citrine artifact with magic powers. The gem can grant the wish of anyone who touches it. But it also comes with a catch: It takes as much as it gives. (The characters hastily reference “The Monkey’s Paw,” the classic W.W. Jacobs short story in which wishes have consequences, but that’s hardly enough to explain the totem’s complicated rules.)



After touching the stone, Diana gets her boyfriend back, but she’s gonna be in trouble. Unless she renounces it, the wish will eventually cost Wonder Woman her powers. Her clumsy co-worker at the Smithsonian Museum, superficially Selina Kyle-like Barbara Minerva (Kristen Wiig), asks to be as strong, sexy, cool and special as Diana, but loses … her endearingly uncouth, undesirable, unfashionable and unremarkable qualities (a better trade-off than the one Diana gets). Later, Barbara will get a second wish — to become “an apex predator” — which transforms Wiig into the Cheetah, a creature who’s less Catwoman than lame “Cats”-level miscalculation."
8,RC_Doc6_In_Rodney_Aschers.docx,"In Rodney Ascher’s  documentary “Room 237,” four theorists attempt to explain the hidden messages in Stanley Kubrick’s movie “The Shining.” The ideas about what the movie is about range from the possible to the downright bizarre. One theory fixates on the possibility that “The Shining” was Kubrick’s way of confessing he faked the landing on the moon footage, and another obsesses over the details of the hedge maze. The other two see evidence that the 1980 film indirectly references either the genocide of Native Americans or the Holocaust.

Like “The Shining,” there are a number of different ways to interpret Jordan Peele’s excellent new horror movie, “Us.” Every image seems to be a clue for what’s about to happen or a stand-in for something outside the main story of a family in danger. Peele’s film, which he directed, wrote and produced, will likely reward audiences on multiple viewings, each visit revealing a new secret, showing you something you missed before in a new light.

“Us” begins back in 1986 with a young girl and her parents wandering through the Santa Cruz boardwalk at night. She separates from them to walk out on the empty beach, watching a foreboding flock of thunderclouds roll in. Her eyes find an attraction just off the main pier, and she walks into what looks like an abandoned hall of mirrors, discovering something deeply terrifying—her doppelgänger. The movie shifts to the present day, with Janelle Monae on the radio as the Wilson family is heading towards their vacation home. The little girl has now grown up to be a woman, Adelaide (Lupita Nyong’o), nervous about returning to that spot on the Santa Cruz beach. Her husband, Gabe (Winston Duke), thinks her reaction is overblown, but he tries to make her feel at ease so they can take their kids Zora (Shahadi Wright Joseph) and Jason (Evan Alex) to the beach and meet up with old friends, the Tylers (Elisabeth Moss and Tim Heidecker) and their twin daughters. After one small scare and a few strange coincidences on the beach, the family returns home for a quiet night in, only to have their peace broken by a most unlikely set of trespassers lined up across their driveway: doppelgängers of their family.

Part of the appeal of “Us” is how you interpret what all of this information and images mean. No doubt the movie will give audiences plenty to mull over long after the credits. In the film, the Jeremiah 11:11 Bible verse appears twice before pivotal moments, and there are plenty of other Biblical references to dig into, including an analogy to heaven and hell. Perhaps Jason’s “Jaws” shirt is a reference to the rocket sweater the little boy wears in “The Shining” or it could be a warning about the film’s oceanside dangers. In the ‘80s scene, when young Adelaide walks into the mysterious attraction, the sign welcoming her is that of a Native American in a headdress above the name “Shaman Vision Quest.”"
9,MSS_Doc3_That-Old-Time.docx,"That old-time American religion of vengeance runs like a river through “True Grit,” a comic-serious tale about some nasty, brutish times. Beautifully adapted by Joel and Ethan Coen from the parodic western novel by Charles Portis, it turns on a 14-year-old Arkansas girl who hires a “one-eyed fat man” to hunt down her father’s killer. First published in 1968, Mr. Portis’s tall tale was brought to the screen the next year custom-fitted for John Wayne, who rode the role of that fat man, Rooster Cogburn, straight to an Oscar. Now it’s the thinner scene-stealer Jeff Bridges who sits and sometimes drunkenly slumps in the saddle.

Much as he did in the raucously entertaining original film directed by Henry Hathaway, Rooster enters on his best behavior, seated in a courtroom amid a fog of cigar smoke and conspicuous lies. The pale, ghostly light comes courtesy of the Coens’ frequent cinematographer, Roger Deakins, while many of the twisty, funny sentences have been plucked by the filmmakers right from the novel. A deputy United States marshal, Rooster has attracted the interest of Mattie Ross (Hailee Steinfeld, in a terrific film debut), a half-pint who, with her bloodlust and severely braided hair, is an authentic American Gothic. As she listens to Rooster recount his bloody deeds and high body count, her eyes shine with a true believer’s excitement.

Avenging her father and keeping close track of her family’s expenses are what preoccupy Mattie, a richly conceived and written eccentric, as memorable on the page as she is now on screen. Softened for the first film (in which she was played by a 21-year-old Kim Darby, in a bob), she has been toughed up again by the Coens so that she resembles the seemingly humorless if often unintentionally humorous Scripture-quoting martinet of Mr. Portis’s imagination. At times she brings to mind D. H. Lawrence’s famed formulation that “the essential American soul is hard, isolate, stoic and a killer.” At other times, as when she wears her dead father’s oversize coat and hat, she looks like a foolish child left to perilous play.

The Coens deliver that line with a touch so light you might not even notice its sting. They have been surprisingly faithful to the tone and idiomatic tang of Mr. Portis’s novel, perhaps because its worldview suits their ironic purposes. The whiskey-soaked Rooster still likes to “pull a cork,” as he does in the book, and the Coens and Mr. Bridges get into the boozy spirit of things with slurs and pratfalls.

Despite Mr. Bridges’s showy turn, the movie opens and closes with Mattie’s voice-over, which shifts the story away from Rooster and back to her. The Coens also restore the novel’s framing device: “True Grit” isn’t just the story of a gutsy 14-year-old; it is her story as called from the memory of the woman (Elizabeth Marvel) she became."
